23,38,40,0
19,37,38,0
19,37,38,0
20,37,40,0
21,38,41,0
23,38,41,0
22,37,40,0
21,35,41,0
22,36,42,0
22,38,44,0
24,40,46,0
23,41,48,0
23,41,48,0
22,40,47,0
24,42,49,0
25,44,51,0
26,45,52,0
24,46,51,0
23,45,50,0
23,43,48,0
22,42,47,0
27,48,50,0
27,48,50,0
33,54,56,0
45,66,68,0
45,69,69,0
34,58,58,0
24,50,50,0
26,53,50,0
26,55,52,0
25,55,50,0
28,57,54,0
24,39,41,0
21,39,40,0
21,39,40,0
23,40,43,0
23,40,43,0
24,39,42,0
21,36,39,0
21,35,41,0
24,38,44,0
25,39,45,0
22,38,44,0
22,38,45,0
21,39,46,0
23,41,48,0
24,42,49,0
24,42,49,0
23,42,49,0
22,42,47,0
21,43,48,0
23,43,48,0
22,42,47,0
25,46,48,0
30,51,53,0
37,58,60,0
45,66,68,0
44,68,68,0
35,59,59,0
23,49,49,0
20,46,46,0
23,52,49,0
27,57,52,0
29,58,55,0
25,40,42,0
23,41,42,0
23,41,42,0
24,42,43,0
25,43,44,0
25,40,43,0
21,36,39,0
23,35,39,0
25,40,43,0
26,40,46,0
20,36,42,0
19,35,41,0
21,37,43,0
25,41,47,0
24,43,48,0
24,43,48,0
22,42,47,0
21,41,46,0
21,41,46,0
22,43,45,0
22,43,45,0
21,42,44,0
27,48,50,0
32,53,54,0
33,54,55,0
32,56,56,0
30,54,54,0
24,50,50,0
22,48,48,0
24,53,50,0
23,54,51,0
25,56,53,0
25,40,42,0
23,41,42,0
24,42,43,0
24,42,43,0
25,43,44,0
25,40,43,0
23,38,41,0
24,36,40,0
26,38,42,0
26,38,44,0
21,35,41,0
20,34,40,0
20,36,42,0
23,39,45,0
24,40,46,0
26,42,48,0
24,43,48,0
24,43,48,0
22,43,45,0
22,43,45,0
21,42,44,0
21,42,44,0
24,45,47,0
23,44,45,0
21,42,43,0
23,44,45,0
25,49,49,0
28,52,52,0
27,53,53,0
27,56,53,0
23,54,51,0
26,57,54,0
25,40,42,0
24,42,43,0
24,42,43,0
27,42,44,0
27,42,44,0
27,40,42,0
25,38,40,0
24,36,38,0
23,36,38,0
22,34,38,0
20,35,38,0
20,35,38,0
21,36,39,0
23,37,43,0
23,39,45,0
26,43,46,0
25,44,47,0
24,43,46,0
24,43,46,0
22,43,45,0
21,42,43,0
23,43,44,0
25,45,46,0
24,44,45,0
22,43,44,0
25,46,47,0
26,50,50,0
28,52,52,0
28,54,54,0
29,57,57,0
30,58,58,0
33,61,61,0
26,41,43,0
23,41,42,0
23,41,42,0
27,42,44,0
29,44,46,0
26,39,41,0
24,37,39,0
23,35,37,0
21,33,35,0
20,32,36,0
21,33,37,0
21,33,37,0
19,34,37,0
22,36,42,0
24,38,44,0
27,42,45,0
26,43,46,0
23,42,45,0
23,42,45,0
22,43,44,0
21,42,43,0
22,42,43,0
23,43,44,0
23,43,44,0
25,45,46,0
28,49,50,0
29,50,51,0
28,52,52,0
31,55,55,0
35,61,61,0
31,59,59,0
33,61,61,0
25,40,42,0
22,40,41,0
21,39,40,0
25,41,40,0
28,44,43,0
26,40,39,0
24,36,36,0
22,34,36,0
22,34,36,0
22,34,36,0
20,33,35,0
20,32,36,0
20,32,36,0
23,35,39,0
24,39,42,0
27,42,45,0
25,42,45,0
23,43,44,0
22,42,43,0
22,42,43,0
21,41,42,0
20,40,41,0
20,40,41,0
20,40,41,0
22,42,43,0
25,46,47,0
26,47,48,0
27,51,51,0
33,57,57,0
37,60,62,0
31,56,58,0
33,58,60,0
25,40,42,0
22,37,39,0
20,35,37,0
23,38,40,0
29,43,42,0
28,40,40,0
23,35,35,0
22,34,36,0
24,36,38,0
25,37,39,0
21,33,35,0
20,32,34,0
20,32,36,0
23,35,39,0
26,38,42,0
28,43,46,0
29,44,47,0
26,44,45,0
22,42,43,0
21,41,42,0
20,40,41,0
20,40,41,0
21,41,42,0
21,41,42,0
22,42,43,0
23,44,45,0
25,46,47,0
29,50,51,0
33,57,57,0
31,54,56,0
32,57,59,0
34,59,61,0
21,36,39,0
21,36,39,0
25,38,40,0
27,40,42,0
30,43,45,0
28,40,42,0
24,36,38,0
24,34,34,0
25,35,35,0
26,36,36,0
24,34,34,0
23,33,33,0
21,33,35,0
25,37,41,0
27,42,45,0
29,44,47,0
28,43,46,0
26,41,44,0
24,41,44,0
24,42,43,0
23,41,42,0
23,41,42,0
22,40,41,0
21,41,42,0
21,41,42,0
23,43,44,0
26,47,48,0
31,52,53,0
29,53,53,0
30,53,55,0
32,57,59,0
34,59,61,0
24,38,44,0
26,38,42,0
24,36,40,0
23,35,39,0
26,39,41,0
27,39,41,0
25,37,39,0
25,34,37,0
26,36,36,0
26,35,38,0
25,35,35,0
24,33,36,0
22,34,36,0
23,35,39,0
24,39,42,0
26,41,44,0
27,42,45,0
26,41,44,0
26,41,44,0
24,42,43,0
23,41,42,0
22,40,41,0
24,42,43,0
22,42,43,0
22,42,43,0
23,43,44,0
26,46,47,0
